Time,2ND STORY_A VAV:DesPer 1:Des Heat Mass Flow [kg/s],2ND STORY_A VAV:DesPer 1:Des Heat Cap [W],2ND STORY_A VAV:DesPer 1:Des Cool Mass Flow [kg/s],2ND STORY_A VAV:DesPer 1:Des Sens Cool Cap [W],2ND STORY_A VAV:DesPer 1:Des Tot Cool Cap [W],2ND STORY_A VAV:DesPer 2:Des Heat Mass Flow [kg/s],2ND STORY_A VAV:DesPer 2:Des Heat Cap [W],2ND STORY_A VAV:DesPer 2:Des Cool Mass Flow [kg/s],2ND STORY_A VAV:DesPer 2:Des Sens Cool Cap [W],2ND STORY_A VAV:DesPer 2:Des Tot Cool Cap [W],3RD STOREY VAV:DesPer 1:Des Heat Mass Flow [kg/s],3RD STOREY VAV:DesPer 1:Des Heat Cap [W],3RD STOREY VAV:DesPer 1:Des Cool Mass Flow [kg/s],3RD STOREY VAV:DesPer 1:Des Sens Cool Cap [W],3RD STOREY VAV:DesPer 1:Des Tot Cool Cap [W],3RD STOREY VAV:DesPer 2:Des Heat Mass Flow [kg/s],3RD STOREY VAV:DesPer 2:Des Heat Cap [W],3RD STOREY VAV:DesPer 2:Des Cool Mass Flow [kg/s],3RD STOREY VAV:DesPer 2:Des Sens Cool Cap [W],3RD STOREY VAV:DesPer 2:Des Tot Cool Cap [W],3RD STORY_A VAV:DesPer 1:Des Heat Mass Flow [kg/s],3RD STORY_A VAV:DesPer 1:Des Heat Cap [W],3RD STORY_A VAV:DesPer 1:Des Cool Mass Flow [kg/s],3RD STORY_A VAV:DesPer 1:Des Sens Cool Cap [W],3RD STORY_A VAV:DesPer 1:Des Tot Cool Cap [W],3RD STORY_A VAV:DesPer 2:Des Heat Mass Flow [kg/s],3RD STORY_A VAV:DesPer 2:Des Heat Cap [W],3RD STORY_A VAV:DesPer 2:Des Cool Mass Flow [kg/s],3RD STORY_A VAV:DesPer 2:Des Sens Cool Cap [W],3RD STORY_A VAV:DesPer 2:Des Tot Cool Cap [W],2ND STOREY VAV:DesPer 1:Des Heat Mass Flow [kg/s],2ND STOREY VAV:DesPer 1:Des Heat Cap [W],2ND STOREY VAV:DesPer 1:Des Cool Mass Flow [kg/s],2ND STOREY VAV:DesPer 1:Des Sens Cool Cap [W],2ND STOREY VAV:DesPer 1:Des Tot Cool Cap [W],2ND STOREY VAV:DesPer 2:Des Heat Mass Flow [kg/s],2ND STOREY VAV:DesPer 2:Des Heat Cap [W],2ND STOREY VAV:DesPer 2:Des Cool Mass Flow [kg/s],2ND STOREY VAV:DesPer 2:Des Sens Cool Cap [W],2ND STOREY VAV:DesPer 2:Des Tot Cool Cap [W],LOWER 1ST STOREY VAV:DesPer 1:Des Heat Mass Flow [kg/s],LOWER 1ST STOREY VAV:DesPer 1:Des Heat Cap [W],LOWER 1ST STOREY VAV:DesPer 1:Des Cool Mass Flow [kg/s],LOWER 1ST STOREY VAV:DesPer 1:Des Sens Cool Cap [W],LOWER 1ST STOREY VAV:DesPer 1:Des Tot Cool Cap [W],LOWER 1ST STOREY VAV:DesPer 2:Des Heat Mass Flow [kg/s],LOWER 1ST STOREY VAV:DesPer 2:Des Heat Cap [W],LOWER 1ST STOREY VAV:DesPer 2:Des Cool Mass Flow [kg/s],LOWER 1ST STOREY VAV:DesPer 2:Des Sens Cool Cap [W],LOWER 1ST STOREY VAV:DesPer 2:Des Tot Cool Cap [W],1ST STOREY VAV:DesPer 1:Des Heat Mass Flow [kg/s],1ST STOREY VAV:DesPer 1:Des Heat Cap [W],1ST STOREY VAV:DesPer 1:Des Cool Mass Flow [kg/s],1ST STOREY VAV:DesPer 1:Des Sens Cool Cap [W],1ST STOREY VAV:DesPer 1:Des Tot Cool Cap [W],1ST STOREY VAV:DesPer 2:Des Heat Mass Flow [kg/s],1ST STOREY VAV:DesPer 2:Des Heat Cap [W],1ST STOREY VAV:DesPer 2:Des Cool Mass Flow [kg/s],1ST STOREY VAV:DesPer 2:Des Sens Cool Cap [W],1ST STOREY VAV:DesPer 2:Des Tot Cool Cap [W]
00:10:00,4.124591E+00,4.002556E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.323527E+04,4.651723E+04,2.068536E+01,8.869345E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,4.073742E+04,1.431775E+05,7.132145E+00,3.157833E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.427430E+04,5.016905E+04,1.075258E+01,1.243313E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.907711E+04,1.373421E+05,5.339522E+00,2.762576E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.159823E+04,4.076364E+04,8.854008E+00,9.874109E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,3.134483E+04,1.101659E+05
00:20:00,4.119984E+00,4.004545E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.308649E+04,4.595514E+04,2.067423E+01,8.874156E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,4.027950E+04,1.414474E+05,7.129146E+00,3.159128E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.411384E+04,4.956283E+04,1.073790E+01,1.243946E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.863786E+04,1.356825E+05,5.335954E+00,2.764117E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.146786E+04,4.027107E+04,8.843063E+00,9.878835E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,3.099249E+04,1.088347E+05
00:30:00,4.115396E+00,4.006527E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.293772E+04,4.539557E+04,2.066314E+01,8.878942E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.982158E+04,1.397250E+05,7.126162E+00,3.160417E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.395339E+04,4.895933E+04,1.072328E+01,1.244578E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.819861E+04,1.340304E+05,5.332401E+00,2.765651E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.133749E+04,3.978071E+04,8.832159E+00,9.883544E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,3.064016E+04,1.075095E+05
00:40:00,4.110826E+00,4.008500E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.278895E+04,4.483852E+04,2.065211E+01,8.883706E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.936367E+04,1.380105E+05,7.123194E+00,3.161699E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.379294E+04,4.835855E+04,1.070872E+01,1.245207E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.775935E+04,1.323857E+05,5.328864E+00,2.767178E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.120712E+04,3.929256E+04,8.821296E+00,9.888235E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,3.028782E+04,1.061902E+05
00:50:00,4.106273E+00,4.010466E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.264017E+04,4.428397E+04,2.064113E+01,8.888445E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.890575E+04,1.363036E+05,7.120242E+00,3.162974E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.363249E+04,4.776047E+04,1.069421E+01,1.245833E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.732010E+04,1.307484E+05,5.325342E+00,2.768699E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.107675E+04,3.880661E+04,8.810474E+00,9.892908E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.993548E+04,1.048769E+05
01:00:00,4.101739E+00,4.012425E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.249140E+04,4.373191E+04,2.063021E+01,8.893162E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.844784E+04,1.346044E+05,7.117305E+00,3.164242E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.347203E+04,4.716507E+04,1.067975E+01,1.246458E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.688085E+04,1.291184E+05,5.321836E+00,2.770214E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.094637E+04,3.832283E+04,8.799693E+00,9.897563E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.958315E+04,1.035695E+05
01:10:00,4.101996E+00,4.012313E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.239222E+04,4.336525E+04,2.063087E+01,8.892877E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.814256E+04,1.334758E+05,7.117488E+00,3.164163E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.336506E+04,4.676962E+04,1.068056E+01,1.246423E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.658801E+04,1.280358E+05,5.322040E+00,2.770125E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.085946E+04,3.800152E+04,8.800299E+00,9.897302E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.934826E+04,1.027011E+05
01:20:00,4.102253E+00,4.012203E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.229304E+04,4.299968E+04,2.063153E+01,8.892593E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.783728E+04,1.323506E+05,7.117669E+00,3.164085E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.325810E+04,4.637535E+04,1.068137E+01,1.246388E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.629518E+04,1.269565E+05,5.322244E+00,2.770037E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.077254E+04,3.768116E+04,8.800903E+00,9.897041E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.911336E+04,1.018353E+05
01:30:00,4.102508E+00,4.012092E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.219385E+04,4.263520E+04,2.063218E+01,8.892311E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.753200E+04,1.312288E+05,7.117849E+00,3.164007E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.315113E+04,4.598226E+04,1.068218E+01,1.246353E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.600234E+04,1.258804E+05,5.322447E+00,2.769950E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.068563E+04,3.736177E+04,8.801505E+00,9.896781E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.887847E+04,1.009721E+05
01:40:00,4.102762E+00,4.011983E+04,1.383683E+00,0.000000E+00,0.000000E+00,1.383683E+00,0.000000E+00,1.383683E+00,1.209467E+04,4.227181E+04,2.063283E+01,8.892030E+04,4.258898E+00,0.000000E+00,0.000000E+00,4.258898E+00,0.000000E+00,4.258898E+00,3.722673E+04,1.301103E+05,7.118029E+00,3.163929E+04,1.492308E+00,0.000000E+00,0.000000E+00,1.492308E+00,0.000000E+00,1.492308E+00,1.304416E+04,4.559034E+04,1.068298E+01,1.246318E+05,4.085321E+00,0.000000E+00,0.000000E+00,4.085321E+00,0.000000E+00,4.085321E+00,3.570951E+04,1.248075E+05,5.322649E+00,2.769862E+04,1.212539E+00,0.000000E+00,0.000000E+00,1.212539E+00,0.000000E+00,1.212539E+00,1.059871E+04,3.704332E+04,8.802105E+00,9.896522E+04,3.276949E+00,0.000000E+00,0.000000E+00,3.276949E+00,0.000000E+00,3.276949E+00,2.864358E+04,1.001115E+05
